Order,Philosopher,Text,Hyperlink
148,Archytas,47-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/125?data-title=47-B+transcription&data-verticalTitle=47-B+transcription&data-type=book&data-id=book_transcription_125&data-boxTitle=47-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F125&data-maxWidth=300
150,Archippos. Lysis. Opsimos.,46-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/30?data-title=46-A+transcription&data-verticalTitle=46-A+transcription&data-type=book&data-id=book_transcription_30&data-boxTitle=46-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F30&data-maxWidth=300
152,Okkelos,48-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/99?data-title=48-A+transcription&data-verticalTitle=48-A+transcription&data-type=book&data-id=book_transcription_99&data-boxTitle=48-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F99&data-maxWidth=300
154,Timaios,49-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/117?data-title=49-A+transcription&data-verticalTitle=49-A+transcription&data-type=book&data-id=book_transcription_117&data-boxTitle=49-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F117&data-maxWidth=300
156,Hiketas,50-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/73?data-title=50-A+transcription&data-verticalTitle=50-A+transcription&data-type=book&data-id=book_transcription_73&data-boxTitle=50-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F73&data-maxWidth=300
158,Xenophilos,52-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/115?data-title=52-A+transcription&data-verticalTitle=52-A+transcription&data-type=book&data-id=book_transcription_115&data-boxTitle=52-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F115&data-maxWidth=300
160,Ekphantos,51-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/50?data-title=51-A+transcription&data-verticalTitle=51-A+transcription&data-type=book&data-id=book_transcription_50&data-boxTitle=51-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F50&data-maxWidth=300
162,Proros. Amykias. Kleinias.,54-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/139?data-title=54-A+transcription&data-verticalTitle=54-A+transcription&data-type=book&data-id=book_transcription_139&data-boxTitle=54-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F139&data-maxWidth=300
164,Damon Und Phintias,55-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/130?data-title=55-A+transcription&data-verticalTitle=55-A+transcription&data-type=book&data-id=book_transcription_130&data-boxTitle=55-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F130&data-maxWidth=300
166,Diokles. Echekrates. Polymnastos. Phanton. Arion.,53-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/42?data-title=53-A+transcription&data-verticalTitle=53-A+transcription&data-type=book&data-id=book_transcription_42&data-boxTitle=53-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F42&data-maxWidth=300
168,Simos. Myonides. Euphranor.,56-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/145?data-title=56-A+transcription&data-verticalTitle=56-A+transcription&data-type=book&data-id=book_transcription_145&data-boxTitle=56-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F145&data-maxWidth=300
170,Lykon,57-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/87?data-title=57-A+transcription&data-verticalTitle=57-A+transcription&data-type=book&data-id=book_transcription_87&data-boxTitle=57-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F87&data-maxWidth=300
172,Anonyme Pythagoreer,58-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/108?data-title=58-B+transcription&data-verticalTitle=58-B+transcription&data-type=book&data-id=book_transcription_108&data-boxTitle=58-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F108&data-maxWidth=300
174,Pythagoreische Schule: A. Katalog Des Iamblichos,58-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/107?data-title=58-A+transcription&data-verticalTitle=58-A+transcription&data-type=book&data-id=book_transcription_107&data-boxTitle=58-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F107&data-maxWidth=300
176,: C. Ακουσματα Και Συμβολα,58-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/111?data-title=58-C+transcription&data-verticalTitle=58-C+transcription&data-type=book&data-id=book_transcription_111&data-boxTitle=58-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F111&data-maxWidth=300
178,: D. Εκ Των Αριστοξενου Πυθαγορικων Αποφασεων Και Πυθαγορικου Βιου,58-D,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/109?data-title=58-D+transcription&data-verticalTitle=58-D+transcription&data-type=book&data-id=book_transcription_109&data-boxTitle=58-D+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F109&data-maxWidth=300
180,Pythagoristen D. Komödie,58-E,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/110?data-title=58-E+transcription&data-verticalTitle=58-E+transcription&data-type=book&data-id=book_transcription_110&data-boxTitle=58-E+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F110&data-maxWidth=300
182,Archelaos,60-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/155?data-title=60-C+transcription&data-verticalTitle=60-C+transcription&data-type=book&data-id=book_transcription_155&data-boxTitle=60-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F155&data-maxWidth=300
184,Metrodoros V. Lampsakos,61-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/93?data-title=61-A+transcription&data-verticalTitle=61-A+transcription&data-type=book&data-id=book_transcription_93&data-boxTitle=61-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F93&data-maxWidth=300
186,Anaxagoras,59-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/16?data-title=59-A+transcription&data-verticalTitle=59-A+transcription&data-type=book&data-id=book_transcription_16&data-boxTitle=59-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F16&data-maxWidth=300
188,Anaxagoras,59-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/17?data-title=59-B+transcription&data-verticalTitle=59-B+transcription&data-type=book&data-id=book_transcription_17&data-boxTitle=59-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F17&data-maxWidth=300
190,Idaios,63-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/131?data-title=63-A+transcription&data-verticalTitle=63-A+transcription&data-type=book&data-id=book_transcription_131&data-boxTitle=63-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F131&data-maxWidth=300
192,Archelaos,60-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/28?data-title=60-A+transcription&data-verticalTitle=60-A+transcription&data-type=book&data-id=book_transcription_28&data-boxTitle=60-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F28&data-maxWidth=300
194,Archelaos,60-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/29?data-title=60-B+transcription&data-verticalTitle=60-B+transcription&data-type=book&data-id=book_transcription_29&data-boxTitle=60-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F29&data-maxWidth=300
196,Kleidemos,62-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/33?data-title=62-A+transcription&data-verticalTitle=62-A+transcription&data-type=book&data-id=book_transcription_33&data-boxTitle=62-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F33&data-maxWidth=300
198,Diogenes Von Apollonia,64-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/43?data-title=64-A+transcription&data-verticalTitle=64-A+transcription&data-type=book&data-id=book_transcription_43&data-boxTitle=64-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F43&data-maxWidth=300
200,Diogenes Von Apollonia,64-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/44?data-title=64-B+transcription&data-verticalTitle=64-B+transcription&data-type=book&data-id=book_transcription_44&data-boxTitle=64-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F44&data-maxWidth=300
202,Diogenes Von Apollonia,64-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/45?data-title=64-C+transcription&data-verticalTitle=64-C+transcription&data-type=book&data-id=book_transcription_45&data-boxTitle=64-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F45&data-maxWidth=300
204,Leukippos,67-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/84?data-title=67-A+transcription&data-verticalTitle=67-A+transcription&data-type=book&data-id=book_transcription_84&data-boxTitle=67-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F84&data-maxWidth=300
206,Leukippos,67-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/85?data-title=67-B+transcription&data-verticalTitle=67-B+transcription&data-type=book&data-id=book_transcription_85&data-boxTitle=67-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F85&data-maxWidth=300
208,Kratylos,65-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/34?data-title=65-A+transcription&data-verticalTitle=65-A+transcription&data-type=book&data-id=book_transcription_34&data-boxTitle=65-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F34&data-maxWidth=300
210,Antisthenes Der Herakliteer,66-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/26?data-title=66-A+transcription&data-verticalTitle=66-A+transcription&data-type=book&data-id=book_transcription_26&data-boxTitle=66-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F26&data-maxWidth=300
212,Nessas,69-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/96?data-title=69-A+transcription&data-verticalTitle=69-A+transcription&data-type=book&data-id=book_transcription_96&data-boxTitle=69-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F96&data-maxWidth=300
214,Nessas,69-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/97?data-title=69-B+transcription&data-verticalTitle=69-B+transcription&data-type=book&data-id=book_transcription_97&data-boxTitle=69-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F97&data-maxWidth=300
216,Demokritos,68-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/39?data-title=68-A+transcription&data-verticalTitle=68-A+transcription&data-type=book&data-id=book_transcription_39&data-boxTitle=68-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F39&data-maxWidth=300
218,Demokritos,68-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/40?data-title=68-B+transcription&data-verticalTitle=68-B+transcription&data-type=book&data-id=book_transcription_40&data-boxTitle=68-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F40&data-maxWidth=300
220,Metrodoros Von Chios,70-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/91?data-title=70-A+transcription&data-verticalTitle=70-A+transcription&data-type=book&data-id=book_transcription_91&data-boxTitle=70-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F91&data-maxWidth=300
222,Anaxarchos,72-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/140?data-title=72-A+transcription&data-verticalTitle=72-A+transcription&data-type=book&data-id=book_transcription_140&data-boxTitle=72-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F140&data-maxWidth=300
224,Demokritos,68-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/41?data-title=68-C+transcription&data-verticalTitle=68-C+transcription&data-type=book&data-id=book_transcription_41&data-boxTitle=68-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F41&data-maxWidth=300
226,Metrodoros Von Chios,70-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/92?data-title=70-B+transcription&data-verticalTitle=70-B+transcription&data-type=book&data-id=book_transcription_92&data-boxTitle=70-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F92&data-maxWidth=300
228,Anaxarchos,72-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/141?data-title=72-B+transcription&data-verticalTitle=72-B+transcription&data-type=book&data-id=book_transcription_141&data-boxTitle=72-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F141&data-maxWidth=300
230,Diogenes Von Smyrna,71-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/46?data-title=71-A+transcription&data-verticalTitle=71-A+transcription&data-type=book&data-id=book_transcription_46&data-boxTitle=71-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F46&data-maxWidth=300
232,Hekataios Von Abdera,73-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/49?data-title=73-B+transcription&data-verticalTitle=73-B+transcription&data-type=book&data-id=book_transcription_49&data-boxTitle=73-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F49&data-maxWidth=300
234,Hekataios Von Abdera,73-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/48?data-title=73-A+transcription&data-verticalTitle=73-A+transcription&data-type=book&data-id=book_transcription_48&data-boxTitle=73-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F48&data-maxWidth=300
236,Nausiphanes,75-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/94?data-title=75-A+transcription&data-verticalTitle=75-A+transcription&data-type=book&data-id=book_transcription_94&data-boxTitle=75-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F94&data-maxWidth=300
238,Nausiphanes,75-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/95?data-title=75-B+transcription&data-verticalTitle=75-B+transcription&data-type=book&data-id=book_transcription_95&data-boxTitle=75-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F95&data-maxWidth=300
240,Apollodoros,74-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/27?data-title=74-A+transcription&data-verticalTitle=74-A+transcription&data-type=book&data-id=book_transcription_27&data-boxTitle=74-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F27&data-maxWidth=300
242,Bolos,78-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/128?data-title=78-A+transcription&data-verticalTitle=78-A+transcription&data-type=book&data-id=book_transcription_128&data-boxTitle=78-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F128&data-maxWidth=300
244,Diotimos,76-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/47?data-title=76-A+transcription&data-verticalTitle=76-A+transcription&data-type=book&data-id=book_transcription_47&data-boxTitle=76-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F47&data-maxWidth=300
246,Ältere Sophistik: Name Und Begriff,79-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/98?data-title=79-A+transcription&data-verticalTitle=79-A+transcription&data-type=book&data-id=book_transcription_98&data-boxTitle=79-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F98&data-maxWidth=300
248,Protagoras,80-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/104?data-title=80-A+transcription&data-verticalTitle=80-A+transcription&data-type=book&data-id=book_transcription_104&data-boxTitle=80-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F104&data-maxWidth=300
250,Bion Von Abdera,77-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/31?data-title=77-A+transcription&data-verticalTitle=77-A+transcription&data-type=book&data-id=book_transcription_31&data-boxTitle=77-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F31&data-maxWidth=300
252,Xeniades,81-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/135?data-title=81-A+transcription&data-verticalTitle=81-A+transcription&data-type=book&data-id=book_transcription_135&data-boxTitle=81-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F135&data-maxWidth=300
254,Protagoras,80-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/105?data-title=80-B+transcription&data-verticalTitle=80-B+transcription&data-type=book&data-id=book_transcription_105&data-boxTitle=80-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F105&data-maxWidth=300
256,Protagoras,80-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/106?data-title=80-C+transcription&data-verticalTitle=80-C+transcription&data-type=book&data-id=book_transcription_106&data-boxTitle=80-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F106&data-maxWidth=300
258,Gorgias,82-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/69?data-title=82-A+transcription&data-verticalTitle=82-A+transcription&data-type=book&data-id=book_transcription_69&data-boxTitle=82-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F69&data-maxWidth=300
260,Lykophron,83-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/86?data-title=83-A+transcription&data-verticalTitle=83-A+transcription&data-type=book&data-id=book_transcription_86&data-boxTitle=83-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F86&data-maxWidth=300
262,Gorgias,82-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/70?data-title=82-B+transcription&data-verticalTitle=82-B+transcription&data-type=book&data-id=book_transcription_70&data-boxTitle=82-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F70&data-maxWidth=300
264,Prodikos,84-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/102?data-title=84-A+transcription&data-verticalTitle=84-A+transcription&data-type=book&data-id=book_transcription_102&data-boxTitle=84-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F102&data-maxWidth=300
266,Thrasymachos,85-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/119?data-title=85-A+transcription&data-verticalTitle=85-A+transcription&data-type=book&data-id=book_transcription_119&data-boxTitle=85-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F119&data-maxWidth=300
268,Gorgias,82-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/71?data-title=82-C+transcription&data-verticalTitle=82-C+transcription&data-type=book&data-id=book_transcription_71&data-boxTitle=82-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F71&data-maxWidth=300
270,Prodikos,84-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/103?data-title=84-B+transcription&data-verticalTitle=84-B+transcription&data-type=book&data-id=book_transcription_103&data-boxTitle=84-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F103&data-maxWidth=300
272,Thrasymachos,85-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/120?data-title=85-B+transcription&data-verticalTitle=85-B+transcription&data-type=book&data-id=book_transcription_120&data-boxTitle=85-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F120&data-maxWidth=300
274,Hippias,86-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/78?data-title=86-A+transcription&data-verticalTitle=86-A+transcription&data-type=book&data-id=book_transcription_78&data-boxTitle=86-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F78&data-maxWidth=300
276,Hippias,86-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/80?data-title=86-C+transcription&data-verticalTitle=86-C+transcription&data-type=book&data-id=book_transcription_80&data-boxTitle=86-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F80&data-maxWidth=300
278,Hippias,86-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/79?data-title=86-B+transcription&data-verticalTitle=86-B+transcription&data-type=book&data-id=book_transcription_79&data-boxTitle=86-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F79&data-maxWidth=300
280,Δισσοι Λογοι,90-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/134?data-title=90-A+transcription&data-verticalTitle=90-A+transcription&data-type=book&data-id=book_transcription_134&data-boxTitle=90-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F134&data-maxWidth=300
282,Antiphon Der Sophist,87-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/24?data-title=87-A+transcription&data-verticalTitle=87-A+transcription&data-type=book&data-id=book_transcription_24&data-boxTitle=87-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F24&data-maxWidth=300
284,Antiphon Der Sophist,87-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/25?data-title=87-B+transcription&data-verticalTitle=87-B+transcription&data-type=book&data-id=book_transcription_25&data-boxTitle=87-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F25&data-maxWidth=300
286,Kritias,88-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/35?data-title=88-A+transcription&data-verticalTitle=88-A+transcription&data-type=book&data-id=book_transcription_35&data-boxTitle=88-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F35&data-maxWidth=300
288,Kritias,88-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/36?data-title=88-B+transcription&data-verticalTitle=88-B+transcription&data-type=book&data-id=book_transcription_36&data-boxTitle=88-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F36&data-maxWidth=300
290,Anonymus Iamblichi,89-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/23?data-title=89-A+transcription&data-verticalTitle=89-A+transcription&data-type=book&data-id=book_transcription_23&data-boxTitle=89-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F23&data-maxWidth=300
